-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
Wind Speed,2021,29.5,-107.5,4.12,5.02,5.66,4.94,4.49,3.66,2.57,2.42,2.71,3.88,2.85,4.76,3.92
Wind Speed,2022,28,-105,3.62,4.02,4.34,4.16,3.88,4.14,3.45,2.96,3.24,3.26,3.55,3.29,3.65
Wind Speed,2022,28,-105.625,3.49,4,4.41,4.24,4.08,3.6,2.88,2.51,2.83,3.02,3.23,3.32,3.46
Wind Speed,2022,28,-106.25,3.69,4.37,5.1,4.87,4.74,3.62,2.81,2.41,2.83,3.15,3.61,3.99,3.76
Wind Speed,2022,28,-106.875,3.96,4.82,5.58,5.13,5.03,3.5,2.86,2.61,3.18,3.31,4.21,4.57,4.06
Wind Speed,2022,28,-107.5,2.57,3.1,3.23,2.92,2.89,1.92,1.62,1.55,1.9,2.03,2.67,2.71,2.42
Wind Speed,2022,28.5,-105,3.56,4,4.31,3.9,3.59,3.96,3.38,2.97,3.09,3.19,3.53,3.17,3.55
Wind Speed,2022,28.5,-105.625,3.31,3.76,4.09,3.85,3.52,3.34,2.73,2.43,2.64,2.87,3.13,3.04,3.22
Wind Speed,2022,28.5,-106.25,3.89,4.42,5.13,4.92,4.59,3.51,2.85,2.5,2.81,3.23,3.7,4.02,3.79
Wind Speed,2022,28.5,-106.875,4.29,4.9,5.68,5.38,4.96,3.6,2.99,2.76,3.33,3.53,4.23,4.66,4.19
Wind Speed,2022,28.5,-107.5,3.42,4.08,4.24,3.97,3.79,2.6,2.13,2.05,2.51,2.68,3.54,3.65,3.22
Wind Speed,2022,29,-105,3.39,3.71,4.06,3.84,3.45,3.72,3.19,2.84,2.97,2.95,3.42,3.05,3.38
Wind Speed,2022,29,-105.625,3.33,3.6,3.97,3.95,3.35,3.3,2.72,2.52,2.73,2.79,3.19,2.93,3.19
Wind Speed,2022,29,-106.25,4.08,4.47,5.16,5.13,4.61,3.49,2.83,2.59,2.99,3.31,3.89,4.12,3.88
Wind Speed,2022,29,-106.875,4.63,5.29,5.82,5.7,5.07,3.64,3.02,2.88,3.55,3.71,4.57,5.02,4.4
Wind Speed,2022,29,-107.5,3.85,4.72,4.87,4.74,4.39,3.04,2.42,2.34,2.84,3.07,4.04,4.26,3.71
Wind Speed,2022,29.5,-105,3.55,3.6,4.18,4.13,3.66,3.7,3.19,2.85,3.02,2.96,3.6,3.22,3.47
Wind Speed,2022,29.5,-105.625,3.75,3.82,4.31,4.46,3.74,3.64,3.03,2.79,3.14,3.03,3.67,3.24,3.55
Wind Speed,2022,29.5,-106.25,4.2,4.32,4.97,5.12,4.5,3.67,2.84,2.64,3.19,3.33,4.07,3.94,3.89
Wind Speed,2022,29.5,-106.875,4.43,5.08,5.41,5.49,4.85,3.58,2.84,2.73,3.47,3.5,4.32,4.65,4.19
Wind Speed,2022,29.5,-107.5,3.77,4.84,4.86,5.02,4.52,2.98,2.41,2.34,2.76,3.04,4.02,4.31,3.73
Wind Speed,2023,28,-105,4.02,4.51,4.14,4.1,3.88,3.49,3.75,3.43,3.07,3.19,3.37,3.24,3.68
Wind Speed,2023,28,-105.625,4.08,4.62,4.51,4.24,3.92,3.54,3.4,3.06,2.79,3.04,3.03,2.92,3.59
Wind Speed,2023,28,-106.25,4.78,5.25,5.32,4.77,4.35,4.04,3.35,3.09,2.73,3.17,3.21,3.07,3.92
Wind Speed,2023,28,-106.875,5.59,5.98,5.83,4.99,4.47,4.16,3.38,3.3,2.78,3.37,3.74,3.5,4.25
Wind Speed,2023,28,-107.5,3.34,3.52,3.38,2.97,2.69,2.39,1.89,2,1.58,2.09,2.51,2.35,2.55
Wind Speed,2023,28.5,-105,4.04,4.47,4.11,3.8,3.65,3.31,3.69,3.3,3.09,3.28,3.23,3.23,3.6
Wind Speed,2023,28.5,-105.625,3.85,4.32,4.07,3.74,3.45,3.23,3.29,2.86,2.76,2.98,2.84,2.92,3.35
Wind Speed,2023,28.5,-106.25,4.82,5.41,5.28,4.81,4.24,4,3.48,3.02,2.82,3.24,3.26,3.33,3.97
Wind Speed,2023,28.5,-106.875,5.63,6.06,5.91,5.11,4.47,4.21,3.56,3.37,2.79,3.52,3.98,3.82,4.36
Wind Speed,2023,28.5,-107.5,4.53,4.81,4.57,3.92,3.45,3.05,2.47,2.58,2.05,2.72,3.29,3.1,3.37
Wind Speed,2023,29,-105,3.85,4.27,4.13,3.69,3.34,3.16,3.53,3.18,2.96,3.2,3.08,3.08,3.45
Wind Speed,2023,29,-105.625,3.67,4.15,4.02,3.76,3.27,3.19,3.31,2.89,2.77,3,2.85,3.01,3.32
Wind Speed,2023,29,-106.25,4.88,5.54,5.3,4.82,4.1,3.99,3.58,3.07,2.82,3.36,3.46,3.62,4.04
Wind Speed,2023,29,-106.875,5.97,6.53,6.26,5.38,4.54,4.24,3.71,3.44,2.82,3.7,4.29,4.1,4.57
Wind Speed,2023,29,-107.5,5.29,5.66,5.4,4.56,4.01,3.45,2.81,2.94,2.43,3.13,3.74,3.49,3.9
Wind Speed,2023,29.5,-105,3.85,4.35,4.4,3.96,3.28,3.42,3.48,3.24,2.89,3.12,3.03,3.19,3.51
Wind Speed,2023,29.5,-105.625,3.88,4.46,4.46,4.19,3.47,3.57,3.59,3.25,2.92,3.26,3.14,3.4,3.63
Wind Speed,2023,29.5,-106.25,4.59,5.29,5.11,4.73,3.96,3.94,3.68,3.31,2.92,3.45,3.57,3.74,4.02
Wind Speed,2023,29.5,-106.875,5.49,6.2,5.82,5.13,4.25,3.96,3.72,3.5,2.87,3.64,3.97,4,4.37
Wind Speed,2023,29.5,-107.5,5.38,5.81,5.55,4.62,4.15,3.6,3.02,2.94,2.51,3.19,3.59,3.52,3.98
Wind Speed,2024,28,-105,3.91,4.24,4.62,4.28,4.14,4.25,3.32,3.52,3.1,3.57,3.45,3.32,3.81
Wind Speed,2024,28,-105.625,3.87,4.1,4.77,4.48,4.46,3.9,3.04,2.93,2.81,3.23,3.47,3.14,3.68
Wind Speed,2024,28,-106.25,4.52,4.74,5.34,5.34,5.33,4.18,2.99,2.73,2.93,3.12,3.98,3.47,4.05
Wind Speed,2024,28,-106.875,5.23,5.41,5.86,5.85,5.71,4.53,2.93,2.67,3.14,3.21,4.44,3.83,4.39
Wind Speed,2024,28,-107.5,3.04,3.2,3.45,3.41,3.29,2.51,1.63,1.57,1.99,2.16,2.77,2.48,2.62
Wind Speed,2024,28.5,-105,3.87,4.21,4.41,4.18,3.64,4.19,3.4,3.53,3.14,3.57,3.5,3.17,3.73
Wind Speed,2024,28.5,-105.625,3.66,3.89,4.25,4.08,3.85,3.55,2.98,2.82,2.82,3.18,3.28,2.91,3.44
Wind Speed,2024,28.5,-106.25,4.68,4.86,5.29,5.2,5.27,4.2,2.94,2.73,3.05,3.31,4.02,3.65,4.1
Wind Speed,2024,28.5,-106.875,5.39,5.53,5.8,5.82,5.8,4.62,2.99,2.77,3.23,3.4,4.37,4.11,4.48
Wind Speed,2024,28.5,-107.5,4.07,4.24,4.58,4.5,4.39,3.31,2.19,1.96,2.62,2.86,3.55,3.21,3.45
Wind Speed,2024,29,-105,3.83,4.05,4.19,4.05,3.56,4.03,3.38,3.29,3.03,3.36,3.37,3.02,3.59
Wind Speed,2024,29,-105.625,3.73,3.87,4.06,3.95,3.84,3.62,3,2.84,2.84,3.17,3.17,2.98,3.42
Wind Speed,2024,29,-106.25,4.88,4.98,5.29,5.03,5.34,4.29,2.99,2.9,3.1,3.51,4.01,3.88,4.18
Wind Speed,2024,29,-106.875,5.67,5.83,6.09,5.96,5.99,4.66,3.07,2.8,3.36,3.73,4.55,4.39,4.67
Wind Speed,2024,29,-107.5,4.63,4.88,5.28,5.22,5.09,3.8,2.56,2.18,3.04,3.33,4.03,3.66,3.97
Wind Speed,2024,29.5,-105,4.09,4.14,4.3,4.15,3.97,4.11,3.32,3.21,3.01,3.23,3.28,3.18,3.66
Wind Speed,2024,29.5,-105.625,4.2,4.23,4.38,4.21,4.28,4.04,3.25,3.15,3.1,3.39,3.34,3.35,3.74
Wind Speed,2024,29.5,-106.25,4.8,4.78,4.97,4.71,5.1,4.32,3.18,3.08,3.18,3.58,3.81,3.91,4.12
Wind Speed,2024,29.5,-106.875,5.23,5.38,5.63,5.47,5.54,4.41,3.14,2.75,3.33,3.82,4.24,4.22,4.43
Wind Speed,2024,29.5,-107.5,4.62,4.95,5.3,5.27,5.17,3.8,2.68,2.25,3.04,3.45,3.95,3.71,4.01
Wind Speed,2025,28,-105,3.84,3.66,5.05,4.52,4.11,3.69,2.82,2.89,2.91,3.53,3.36,3.14,3.63
Wind Speed,2025,28,-105.625,3.82,3.68,4.93,4.78,4.29,3.26,2.72,2.62,2.47,3.17,3.27,2.97,3.5
Wind Speed,2025,28,-106.25,4.23,4.18,5.6,5.51,4.98,3.18,2.89,2.68,2.46,3.28,3.39,3.11,3.79
Wind Speed,2025,28,-106.875,4.67,4.57,6.13,5.82,5.42,3.32,3.03,2.69,2.45,3.48,3.64,3.24,4.04
Wind Speed,2025,28,-107.5,2.93,2.77,3.49,3.32,3.12,1.9,1.76,1.58,1.49,2.09,2.35,2.11,2.41
Wind Speed,2025,28.5,-105,3.86,3.53,4.87,4.37,4.01,3.71,2.78,2.82,2.78,3.49,3.29,3.06,3.55
Wind Speed,2025,28.5,-105.625,3.58,3.27,4.59,4.34,3.78,3.11,2.54,2.47,2.32,3.07,3.01,2.8,3.24
Wind Speed,2025,28.5,-106.25,4.29,4.14,5.69,5.39,4.88,3.12,2.9,2.67,2.45,3.34,3.41,3.18,3.79
Wind Speed,2025,28.5,-106.875,4.82,4.64,6.32,5.78,5.35,3.32,3.06,2.74,2.49,3.65,3.66,3.46,4.11
Wind Speed,2025,28.5,-107.5,3.85,3.6,4.75,4.43,4.11,2.47,2.26,1.99,1.93,2.8,2.98,2.8,3.16
Wind Speed,2025,29,-105,3.67,3.47,4.66,4.15,4.02,3.51,2.72,2.71,2.64,3.38,3.12,3,3.42
Wind Speed,2025,29,-105.625,3.51,3.28,4.59,4.1,3.72,3.02,2.52,2.37,2.41,3.14,3,2.91,3.21
Wind Speed,2025,29,-106.25,4.32,4.14,5.94,5.24,4.76,3.17,2.89,2.66,2.46,3.46,3.48,3.33,3.82
Wind Speed,2025,29,-106.875,5.16,4.85,6.65,5.96,5.33,3.32,3.1,2.78,2.55,3.81,3.82,3.76,4.26
Wind Speed,2025,29,-107.5,4.36,4.15,5.59,5.17,4.74,2.87,2.6,2.25,2.18,3.26,3.35,3.18,3.64
Wind Speed,2025,29.5,-105,3.65,3.57,4.9,4.18,4.15,3.39,2.72,2.74,2.66,3.41,3.24,3.18,3.48
Wind Speed,2025,29.5,-105.625,3.82,3.6,5.08,4.22,4.08,3.26,2.75,2.62,2.67,3.48,3.32,3.29,3.52
Wind Speed,2025,29.5,-106.25,4.2,4.04,5.87,4.88,4.46,3.29,3,2.73,2.55,3.55,3.48,3.47,3.79
Wind Speed,2025,29.5,-106.875,4.81,4.64,6.31,5.58,4.84,3.35,3.03,2.76,2.53,3.7,3.66,3.68,4.07
Wind Speed,2025,29.5,-107.5,4.35,4.33,5.77,5.26,4.69,3.11,2.66,2.31,2.14,3.32,3.34,3.21,3.71
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
Earth Skin Temp,2020,28,-105,11.45,13.32,20.23,24.23,29.43,32.35,31.45,32.16,24.49,22.46,17.52,9.47,22.4
Earth Skin Temp,2020,28,-105.625,11.34,13.26,19.62,23.99,29.53,32.15,30.37,31.72,24.02,22.07,17.34,9.55,22.1
Earth Skin Temp,2020,28,-106.25,9.13,10.54,16.38,21.13,26.97,29.84,27.32,28.79,22.09,20.11,15.49,7.95,19.67
Earth Skin Temp,2020,28,-106.875,6.01,7.17,11.83,15.95,21.73,25.34,23.72,24.29,19.47,16.99,12.1,5.39,15.85
Earth Skin Temp,2020,28,-107.5,3.91,4.86,8.59,11.59,16.22,19.79,19.22,19.94,16.3,13.7,9.83,3.53,12.31
Earth Skin Temp,2020,28.5,-105,10.55,12.56,19.77,24.09,29.48,32.55,32.4,32.52,24.55,21.98,17.22,8.94,22.24
Earth Skin Temp,2020,28.5,-105.625,10.4,12.67,19.43,24.1,29.6,32.39,31.47,32.17,24.15,21.79,17.05,9.14,22.05
Earth Skin Temp,2020,28.5,-106.25,8.22,9.76,16.24,21.19,26.76,29.68,27.18,28.64,21.59,19.5,14.98,7.37,19.28
Earth Skin Temp,2020,28.5,-106.875,5.53,6.84,11.68,15.91,22.19,26.05,23.87,24.42,19.7,16.73,11.88,4.91,15.83
Earth Skin Temp,2020,28.5,-107.5,4.81,5.82,9.7,13.12,18.64,22.43,21.43,22.2,18.47,15.19,10.81,4.05,13.91
Earth Skin Temp,2020,29,-105,10.17,12.35,19.62,24.33,29.83,32.98,33.72,33.2,24.7,21.79,17.04,8.64,22.39
Earth Skin Temp,2020,29,-105.625,9.88,12.14,19.03,24.11,29.67,32.67,32.61,32.69,24.35,21.7,16.7,8.7,22.05
Earth Skin Temp,2020,29,-106.25,7.83,9.4,15.69,20.89,26.73,29.74,27.66,28.57,21.78,19.62,14.69,6.99,19.16
Earth Skin Temp,2020,29,-106.875,5.52,6.96,11.74,15.95,22.69,26.6,24.18,24.64,20.1,17.03,12.18,4.81,16.05
Earth Skin Temp,2020,29,-107.5,5.19,6.5,10.44,14.29,20.4,24.58,23.29,23.77,20.21,16.15,11.29,4.01,15.03
Earth Skin Temp,2020,29.5,-105,9.34,12.03,19.09,23.83,29.49,32.58,34.1,33.25,24.41,21.42,16.3,7.82,22
Earth Skin Temp,2020,29.5,-105.625,9.12,11.45,17.9,23.25,29.07,32.27,32.89,32.67,24.37,21.57,16.01,7.78,21.56
Earth Skin Temp,2020,29.5,-106.25,7.91,9.65,15.41,20.9,27.25,30.45,29.09,29.52,22.93,20.47,15.04,7.03,19.66
Earth Skin Temp,2020,29.5,-106.875,6.36,7.9,12.63,17.13,24.24,28.24,26,26.22,21.64,18.69,13.5,5.45,17.35
Earth Skin Temp,2020,29.5,-107.5,5.51,7.02,10.99,15.22,21.56,25.84,24.44,24.56,21.03,17.07,11.98,4.23,15.81
Earth Skin Temp,2021,28,-105,9.9,14.54,17.94,24,28.56,31.72,28.61,28,27.58,23.03,17.7,14.88,22.23
Earth Skin Temp,2021,28,-105.625,9.93,14.71,17.49,23.81,28.43,31.52,27.29,26.7,25.83,22.21,17.49,14.25,21.66
Earth Skin Temp,2021,28,-106.25,8.29,12.87,15.34,21.51,25.95,29.14,24.69,24.16,22.92,19.64,15.1,12.23,19.34
Earth Skin Temp,2021,28,-106.875,5.88,9.71,11.92,17.46,21.88,25.39,21.57,21.26,19.65,16.55,12.09,9.35,16.08
Earth Skin Temp,2021,28,-107.5,3.61,6.34,8.1,12.08,15.71,19.94,17.78,17.9,16.25,13.2,9.32,6.74,12.27
Earth Skin Temp,2021,28.5,-105,9.15,13.58,17.39,23.6,28.29,31.97,28.94,28.21,27.69,22.93,17.25,14.37,21.98
Earth Skin Temp,2021,28.5,-105.625,9.27,14.12,17.04,23.49,28.22,31.87,27.8,27.05,26.05,22.26,17.14,13.9,21.54
Earth Skin Temp,2021,28.5,-106.25,7.4,12.06,14.61,20.87,25.38,28.76,24.14,23.62,22.37,18.92,14.35,11.53,18.69
Earth Skin Temp,2021,28.5,-106.875,5.24,9.07,11.46,17.17,21.63,25.31,21.39,21.05,19.36,16.15,11.49,8.72,15.7
Earth Skin Temp,2021,28.5,-107.5,4.23,7.29,9.31,13.94,17.97,22.72,19.97,19.9,18.17,14.83,10.45,7.59,13.89
Earth Skin Temp,2021,29,-105,8.84,13.09,17.25,23.5,28.33,32.43,29.65,28.53,28.23,23.03,17.01,14.44,22.07
Earth Skin Temp,2021,29,-105.625,8.83,13.63,16.75,23.26,28.19,32.07,28.35,27.24,26.43,21.91,16.65,13.85,21.46
Earth Skin Temp,2021,29,-106.25,6.93,11.6,14.14,20.49,25.23,28.77,24.34,23.63,22.39,18.62,13.77,11.39,18.47
Earth Skin Temp,2021,29,-106.875,4.87,8.8,11.13,16.95,21.61,25.76,21.6,21.21,19.59,16.21,11.39,8.66,15.67
Earth Skin Temp,2021,29,-107.5,4.43,7.68,9.84,15.25,19.59,24.83,21.62,21.3,19.62,15.84,11.06,8.01,14.95
Earth Skin Temp,2021,29.5,-105,7.92,12.27,16.55,22.73,27.79,32.12,29.83,28.39,28.31,22.83,16.27,14.18,21.64
Earth Skin Temp,2021,29.5,-105.625,8.03,12.61,15.99,22.38,27.66,31.71,28.54,27.2,26.52,21.67,15.68,13.36,20.98
Earth Skin Temp,2021,29.5,-106.25,7.04,11.6,14.29,20.74,25.9,29.68,25.76,24.73,23.35,19.17,14.01,11.73,19.03
Earth Skin Temp,2021,29.5,-106.875,5.53,9.64,12.08,18.28,23.28,27.63,23.65,22.8,21.12,17.42,12.28,9.71,16.98
Earth Skin Temp,2021,29.5,-107.5,4.61,8.17,10.35,16.34,20.89,25.99,22.67,22.08,20.28,16.32,11.23,8.57,15.66
Earth Skin Temp,2022,28,-105,11.42,12.9,18.03,25.17,30.01,33.01,32.77,28.55,24.78,20.12,13.43,12.7,21.96
Earth Skin Temp,2022,28,-105.625,11.76,12.7,17.93,25.06,29.94,32.17,31.64,27.59,23.63,19.31,12.97,12.26,21.46
Earth Skin Temp,2022,28,-106.25,9.85,10.29,15.73,22.94,27.75,29.09,27.92,24.54,21.47,17.17,11.37,10.48,19.1
Earth Skin Temp,2022,28,-106.875,7.1,6.9,11.62,18.76,23.57,25.08,23.7,20.89,18.85,14.49,8.89,7.42,15.65
Earth Skin Temp,2022,28,-107.5,4.64,4.2,7.55,13.32,16.95,19.56,19.06,17.22,15.92,10.95,6.07,5.11,11.75
Earth Skin Temp,2022,28.5,-105,10.72,12.29,17.55,24.84,29.93,32.83,32.8,28.72,25.09,19.82,12.98,11.89,21.67
Earth Skin Temp,2022,28.5,-105.625,11.15,12.18,17.37,24.91,29.97,31.85,31.87,27.84,24.05,19.09,12.5,11.81,21.27
Earth Skin Temp,2022,28.5,-106.25,9.13,9.78,15,22.47,27.48,28.34,27.25,24.06,21,16.34,10.47,9.65,18.46
Earth Skin Temp,2022,28.5,-106.875,6.35,6.45,11.02,18.55,23.35,24.97,23.63,20.75,18.69,13.99,8.08,6.59,15.25
Earth Skin Temp,2022,28.5,-107.5,5.4,5.22,8.79,15.08,19.21,22.08,21.38,18.95,17.7,12.56,7.06,5.66,13.3
Earth Skin Temp,2022,29,-105,10.48,12.01,17.32,24.97,30.2,33.02,33.42,29.18,25.79,19.92,12.73,11.59,21.77
Earth Skin Temp,2022,29,-105.625,10.63,11.7,16.91,24.89,30.12,31.99,32.22,28.1,24.74,19.04,12.13,11.21,21.19
Earth Skin Temp,2022,29,-106.25,8.54,9.28,14.45,22.07,27.22,28.36,27.22,24.15,21.36,16.18,10.08,9.1,18.22
Earth Skin Temp,2022,29,-106.875,6.08,6.33,10.86,18.31,23.07,25.31,23.75,21,19.09,13.95,7.99,6.51,15.23
Earth Skin Temp,2022,29,-107.5,5.61,5.74,9.52,16.19,20.64,23.97,22.94,20.36,19.23,13.69,7.63,5.91,14.33
Earth Skin Temp,2022,29.5,-105,9.72,10.96,16.46,24.36,29.65,32.7,33.47,29.02,25.6,19.6,12.07,10.88,21.26
Earth Skin Temp,2022,29.5,-105.625,9.51,10.55,16,24.11,29.42,31.83,32.17,27.82,25.04,18.77,11.52,10.38,20.65
Earth Skin Temp,2022,29.5,-106.25,8.33,9.19,14.51,22.25,27.46,29.49,28.39,25.08,22.6,16.69,10.15,9.06,18.65
Earth Skin Temp,2022,29.5,-106.875,6.75,7.07,11.81,19.41,24.38,27.13,25.45,22.52,20.72,14.9,8.86,7.41,16.41
Earth Skin Temp,2022,29.5,-107.5,5.78,5.99,10.08,16.99,21.8,24.96,23.85,21.29,20.06,14.16,8.11,6.41,15
Earth Skin Temp,2023,28,-105,11.78,13.73,18.34,23.51,26.27,32.36,34.33,31.95,30.74,22.76,16.56,11.91,22.9
Earth Skin Temp,2023,28,-105.625,11.67,13.07,17.96,23.3,26.34,32.59,34.18,31.04,30.46,22.77,16.53,11.9,22.7
Earth Skin Temp,2023,28,-106.25,9.4,10.57,15.58,20.77,24.21,30.22,31.51,28.11,28.28,20.93,14.91,10.24,20.44
Earth Skin Temp,2023,28,-106.875,6.4,7.14,11.71,16.39,20.02,25.74,27.23,24.5,24.7,17.8,12.52,7.41,16.84
Earth Skin Temp,2023,28,-107.5,4,4.73,8.01,11.73,14.69,19.8,21.97,19.82,19.72,14.3,9.69,5.16,12.84
Earth Skin Temp,2023,28.5,-105,11.22,13.07,17.67,22.88,26.3,32.3,34.8,32.39,31.03,23.18,16.15,11.43,22.75
Earth Skin Temp,2023,28.5,-105.625,11.27,12.85,17.51,22.98,26.39,32.44,34.57,31.35,30.69,23.18,16.23,11.49,22.63
Earth Skin Temp,2023,28.5,-106.25,8.6,10.32,15.23,20.56,23.95,29.45,31.2,27.44,27.51,20.58,14.21,9.55,19.93
Earth Skin Temp,2023,28.5,-106.875,5.56,6.72,11.21,16.03,20,25.46,27.59,24.28,24.25,17.5,11.92,6.77,16.49
Earth Skin Temp,2023,28.5,-107.5,4.53,5.5,9.04,13.38,16.81,21.9,24.78,22.03,21.88,15.93,10.71,5.82,14.4
Earth Skin Temp,2023,29,-105,10.88,12.74,17.37,23.01,26.89,32.74,35.36,33.07,31.63,23.62,16.02,11.17,22.93
Earth Skin Temp,2023,29,-105.625,10.49,12.4,17.14,22.89,26.71,32.54,34.86,31.75,31.02,23.33,15.99,11.09,22.57
Earth Skin Temp,2023,29,-106.25,8.06,9.91,14.67,20.36,23.98,29.14,31.16,27.33,27.17,20.4,13.89,9.16,19.65
Earth Skin Temp,2023,29,-106.875,5.44,6.7,10.95,16.21,20.24,25.46,28.08,24.31,24.12,17.43,11.75,6.63,16.49
Earth Skin Temp,2023,29,-107.5,4.7,5.86,9.63,14.47,18.29,23.51,26.94,23.69,23.41,17.03,11.18,5.9,15.43
Earth Skin Temp,2023,29.5,-105,10.26,11.86,16.66,22.51,26.62,32.63,35.27,32.68,31.28,23.23,15.26,10.31,22.43
Earth Skin Temp,2023,29.5,-105.625,9.49,11.24,16.17,22.18,26.27,32.17,34.68,31.44,30.67,22.83,15.25,10.13,21.93
Earth Skin Temp,2023,29.5,-106.25,7.99,9.73,14.51,20.59,24.6,29.82,32.22,28.31,27.99,20.91,14.03,9.12,20.04
Earth Skin Temp,2023,29.5,-106.875,6.25,7.58,11.94,17.57,21.96,27.11,30.08,25.87,25.67,18.72,12.58,7.42,17.78
Earth Skin Temp,2023,29.5,-107.5,5.14,6.33,10.43,15.48,19.55,24.84,28.26,24.55,24.35,17.64,11.36,6.15,16.22
Earth Skin Temp,2024,28,-105,10.97,15.4,18.15,23.3,29.5,33.89,30.51,31.51,26.96,24.01,17.02,13.99,22.95
Earth Skin Temp,2024,28,-105.625,11.43,15.34,18.03,22.97,29.42,33.88,29.84,30.62,26.36,23.74,16.83,14.2,22.74
Earth Skin Temp,2024,28,-106.25,9.83,13.37,15.75,20.62,27.05,31.71,27.24,27.41,24.1,21.3,14.84,12.61,20.5
Earth Skin Temp,2024,28,-106.875,6.8,9.86,11.88,16.76,22.83,27.97,23.97,23.38,21.27,18.01,11.49,9.4,16.98
Earth Skin Temp,2024,28,-107.5,3.89,6.24,7.2,11.46,16.51,21.68,19.64,19.02,17.48,14.58,8.42,6.44,12.73
Earth Skin Temp,2024,28.5,-105,10.39,15.03,17.85,23.05,29.37,34.05,31.03,32.14,27.12,24.22,16.56,13.32,22.86
Earth Skin Temp,2024,28.5,-105.625,10.84,14.96,17.76,22.85,29.52,33.92,30.64,31.43,26.91,23.86,16.49,13.65,22.75
Earth Skin Temp,2024,28.5,-106.25,8.96,12.59,15.05,20.04,26.7,31.11,27.06,27.11,23.99,21.32,14.45,11.89,20.04
Earth Skin Temp,2024,28.5,-106.875,5.99,9.17,11.44,16.33,22.28,27.55,24.06,23.3,21.18,17.77,10.9,8.74,16.57
Earth Skin Temp,2024,28.5,-107.5,4.47,7.11,8.61,13.31,18.61,24.27,22.1,21.43,19.61,16.41,9.46,7.03,14.38
Earth Skin Temp,2024,29,-105,10.02,14.82,17.89,23.24,29.7,34.58,31.87,33,27.36,24.46,16.24,13.08,23.04
Earth Skin Temp,2024,29,-105.625,10.23,14.6,17.58,22.85,29.63,34.15,31.39,32.09,27.06,23.88,16.12,13.28,22.76
Earth Skin Temp,2024,29,-106.25,8.37,12.05,14.57,19.77,26.39,30.85,27.7,27.54,24.3,21.31,14.1,11.45,19.88
Earth Skin Temp,2024,29,-106.875,5.7,8.71,11.07,16.04,21.93,27.39,24.68,23.95,21.6,18.32,11.05,8.67,16.61
Earth Skin Temp,2024,29,-107.5,4.63,7.48,9.38,14.43,19.85,26.08,24.09,23.34,21.07,17.79,9.94,7.18,15.46
Earth Skin Temp,2024,29.5,-105,8.94,13.9,17.18,22.72,29.37,34.28,31.69,32.92,27.34,24.07,15.14,12.22,22.5
Earth Skin Temp,2024,29.5,-105.625,9.04,13.63,16.67,22.24,29.01,33.83,31.26,32.01,27.02,23.57,15,12.27,22.15
Earth Skin Temp,2024,29.5,-106.25,8.25,12.15,14.65,20.2,26.79,31.58,29.05,28.93,25.3,22.03,14.02,11.41,20.38
Earth Skin Temp,2024,29.5,-106.875,6.48,9.68,12.05,17.4,23.36,28.91,26.87,26.14,23.29,20.15,12.14,9.69,18.03
Earth Skin Temp,2024,29.5,-107.5,5.13,8.11,10.07,15.29,20.82,27.1,25.4,24.53,21.95,18.74,10.61,7.94,16.33
Earth Skin Temp,2025,28,-105,10.25,17.02,19.14,23.73,28.09,31.59,28.71,29.97,27.48,23.1,17.92,15.6,22.74
Earth Skin Temp,2025,28,-105.625,10.22,17.38,19.04,23.43,27.75,31.42,27.64,28.95,26.42,22.79,17.99,15.82,22.42
Earth Skin Temp,2025,28,-106.25,8.51,15.64,17.01,21.17,25.37,29.4,25.37,26.28,23.65,20.74,15.28,13.69,20.19
Earth Skin Temp,2025,28,-106.875,5.77,12.25,13.5,17.27,21.51,25.91,22.72,22.92,20.79,17.91,12.08,10.58,16.95
Earth Skin Temp,2025,28,-107.5,3.3,8.15,8.93,11.78,15.45,20.06,18.34,18.62,17.04,14.46,9.16,8.11,12.8
Earth Skin Temp,2025,28.5,-105,9.57,16.58,18.84,23.35,28.05,31.83,29.33,30.64,27.86,23.38,17.75,15.25,22.73
Earth Skin Temp,2025,28.5,-105.625,9.56,16.92,18.65,23.15,27.72,31.68,28.28,29.42,26.63,22.86,17.86,15.59,22.38
Earth Skin Temp,2025,28.5,-106.25,7.42,14.95,16.17,20.59,24.78,29.03,24.93,25.52,22.97,19.84,14.38,13.01,19.48
Earth Skin Temp,2025,28.5,-106.875,4.74,11.57,12.8,16.92,21.08,25.87,22.64,22.53,20.37,17.17,11.25,9.84,16.41
Earth Skin Temp,2025,28.5,-107.5,3.66,9.38,10.27,13.79,17.82,22.64,20.79,20.89,18.77,15.89,10.13,8.81,14.42
Earth Skin Temp,2025,29,-105,9.1,16.32,18.78,23.61,28.51,32.54,30.12,31.76,28.42,23.77,17.74,14.99,23
Earth Skin Temp,2025,29,-105.625,8.92,16.56,18.38,23.31,27.92,32.08,28.92,29.85,26.79,22.84,17.38,14.95,22.34
Earth Skin Temp,2025,29,-106.25,6.59,14.6,15.66,20.47,24.59,28.97,25.2,25.41,22.81,19.51,13.85,11.98,19.15
